interaction_id,incident_id,local_sid,name,system_layer,primary_function,secondary_functions,observed_state,inadequacy_type,suspected_absent,timeliness,evidentiary_basis,evidence_status,causal_role,existence_timing,confidence,control_group
2015-vw-dieselgate::S7,2015-vw-dieselgate,S7,Post-incident: recalls + EU Real-Driving-Emissions testing,external-ecosystem,detective,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2020-pulse-oximeter-bias::S1,2020-pulse-oximeter-bias,S1,Representative calibration data (diverse skin tones),model,preventive,,Absent,,0,not-applicable,post-incident-finding;comparable-system,confirmed-authoritative,primary,incident-time,high,
2020-pulse-oximeter-bias::S2,2020-pulse-oximeter-bias,S2,FDA premarket clearance testing standard (skin-tone diversity),external-ecosystem,assurance-governance,,Inadequate,enforcement,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2020-pulse-oximeter-bias::S3,2020-pulse-oximeter-bias,S3,Clinical-awareness / labeling of the bias,application,detective,,Inadequate,design,0,too-late,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2020-pulse-oximeter-bias::S4,2020-pulse-oximeter-bias,S4,Post-market surveillance / detection,organizational-process,detective,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2020-pulse-oximeter-bias::S5,2020-pulse-oximeter-bias,S5,Post-incident: FDA panel/guidance (Monk skin-tone scale),external-ecosystem,assurance-governance,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,medium,
2010-flash-crash::S1,2010-flash-crash,S1,Execution-algorithm price/time limits,application,preventive,,Absent,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,
2010-flash-crash::S2,2010-flash-crash,S2,Market-wide circuit breakers,external-ecosystem,containment,,Inadequate,design,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2010-flash-crash::S3,2010-flash-crash,S3,Single-stock circuit breakers,external-ecosystem,containment,,Absent,,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2010-flash-crash::S4,2010-flash-crash,S4,Guard against nonsensical (stub-quote) executions,infrastructure-environment,containment,,Absent,,0,not-applicable,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2010-flash-crash::S5,2010-flash-crash,S5,Spoofing / manipulation surveillance,external-ecosystem,detective,,Failed,,0,too-late,direct-artifact,confirmed-authoritative,contributing,incident-time,medium,
2010-flash-crash::S6,2010-flash-crash,S6,CME Globex stop-logic pause,infrastructure-environment,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2010-flash-crash::S7,2010-flash-crash,S7,Broken-trade cancellation (clearly-erroneous),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2010-flash-crash::S8,2010-flash-crash,S8,"Post-incident: single-stock CBs, LULD, stub-quote ban, CAT",external-ecosystem,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2021-zillow-offers::S1,2021-zillow-offers,S1,Price-forecast model accuracy / validation,model,preventive,,Failed,,0,not-applicable,operator-claim,confirmed-authoritative,primary,incident-time,high,
2021-zillow-offers::S2,2021-zillow-offers,S2,Human oversight of algorithmic buy decisions,human-operator,detective,,Bypassed,,0,not-applicable,multiply-reported,multiply-reported,primary,incident-time,medium,
2021-zillow-offers::S3,2021-zillow-offers,S3,Risk limits on purchase volume / price,organizational-process,containment,,Inadequate,design,0,not-applicable,post-incident-finding,multiply-reported,contributing,incident-time,medium,
2021-zillow-offers::S4,2021-zillow-offers,S4,Backtesting / stress-testing for volatile markets,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,post-incident-finding,inferred-indirect,latent-condition,incident-time,medium,
2021-zillow-offers::S5,2021-zillow-offers,S5,Loss detection,organizational-process,detective,,Working,,0,too-late,operator-claim,confirmed-authoritative,mitigating,incident-time,high,
2021-zillow-offers::S6,2021-zillow-offers,S6,Containment: wind-down + inventory sell-off,organizational-process,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2018-ibm-watson-oncology::S1,2018-ibm-watson-oncology,S1,Training-data validity (real-world evidence grounding),model,preventive,,Absent,,0,not-applicable,direct-artifact,multiply-reported,primary,incident-time,high,
2018-ibm-watson-oncology::S2,2018-ibm-watson-oncology,S2,Clinical / outcome validation before deployment,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,direct-artifact,multiply-reported,primary,incident-time,high,
2018-ibm-watson-oncology::S3,2018-ibm-watson-oncology,S3,Marketing / deployment honesty (claims match reality),organizational-process,assurance-governance,,Failed,,0,not-applicable,direct-artifact,multiply-reported,aggravating,incident-time,high,
2018-ibm-watson-oncology::S4,2018-ibm-watson-oncology,S4,Physician oversight / override (human in the loop),human-operator,containment,,Working,,0,in-time,operator-claim,multiply-reported,mitigating,incident-time,medium,
2018-ibm-watson-oncology::S5,2018-ibm-watson-oncology,S5,Detection (internal decks + client complaints),organizational-process,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2018-ibm-watson-oncology::S6,2018-ibm-watson-oncology,S6,"Incident-time remediation (patching, continued sale)",organizational-process,recovery,,Inadequate,operation,0,too-late,direct-artifact,multiply-reported,not-causally-relevant,incident-time,medium,
2018-ibm-watson-oncology::S7,2018-ibm-watson-oncology,S7,Later: wind-down + divestiture,organizational-process,recovery,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2023-2025-mobley-workday::S1,2023-2025-mobley-workday,S1,Bias audit / disparate-impact testing,organizational-process,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,disputed,primary,incident-time,low,
2023-2025-mobley-workday::S2,2023-2025-mobley-workday,S2,Transparency to applicants (explainability),application,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,disputed,contributing,incident-time,low,
2023-2025-mobley-workday::S3,2023-2025-mobley-workday,S3,Human oversight of automated screening,human-operator,detective,,Bypassed,,0,not-applicable,post-incident-finding,disputed,primary,incident-time,low,
2023-2025-mobley-workday::S4,2023-2025-mobley-workday,S4,Vendor accountability ('agent' liability),external-ecosystem,assurance-governance,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2023-2025-mobley-workday::S5,2023-2025-mobley-workday,S5,Regulatory oversight (EEOC amicus; ADEA certification),external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2023-2025-mobley-workday::S6,2023-2025-mobley-workday,S6,External bias-audit regime (NYC Local Law 144),external-ecosystem,assurance-governance,,Inadequate,enforcement,0,in-time,research-evidence,multiply-reported,not-causally-relevant,added-after,medium,
2024-gemini-image-generation::S1,2024-gemini-image-generation,S1,Demographic-bias fairness tuning,model,preventive,,Failed,,0,not-applicable,operator-claim,confirmed-authoritative,primary,incident-time,high,
2024-gemini-image-generation::S2,2024-gemini-image-generation,S2,Context / historical-accuracy gate,application,preventive,,Absent,,0,not-applicable,operator-claim,confirmed-authoritative,primary,incident-time,high,
2024-gemini-image-generation::S3,2024-gemini-image-generation,S3,Over-refusal safety layer (prompt sensitivity),model,preventive,,Failed,,0,not-applicable,operator-claim,confirmed-authoritative,contributing,incident-time,high,
2024-gemini-image-generation::S4,2024-gemini-image-generation,S4,Pre-launch testing / red-teaming,organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,operator-claim,inferred-indirect,latent-condition,incident-time,medium,
2024-gemini-image-generation::S5,2024-gemini-image-generation,S5,Internal detection (pre-public),organizational-process,detective,,Failed,,0,too-late,direct-artifact,confirmed-authoritative,contributing,incident-time,high,
2024-gemini-image-generation::S6,2024-gemini-image-generation,S6,Feature pause / kill-switch,application,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2024-gemini-image-generation::S7,2024-gemini-image-generation,S7,Later: re-release on Imagen 3 with new evals/red-teaming,model,preventive,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2018-tesla-autopilot-mountain-view::S1,2018-tesla-autopilot-mountain-view,S1,Perception / obstacle (barrier) detection + AEB,application,preventive,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2018-tesla-autopilot-mountain-view::S2,2018-tesla-autopilot-mountain-view,S2,Driver-attention monitoring,application,detective,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2018-tesla-autopilot-mountain-view::S3,2018-tesla-autopilot-mountain-view,S3,Operational-design-domain restriction,application,preventive,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2018-tesla-autopilot-mountain-view::S4,2018-tesla-autopilot-mountain-view,S4,Driver attention / intervention (human),human-operator,recovery,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,primary,incident-time,medium,
2018-tesla-autopilot-mountain-view::S5,2018-tesla-autopilot-mountain-view,S5,Highway crash attenuator (infrastructure),external-ecosystem,containment,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2018-tesla-autopilot-mountain-view::S6,2018-tesla-autopilot-mountain-view,S6,Federal (NHTSA) oversight of partial automation,external-ecosystem,assurance-governance,,Inadequate,enforcement,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2018-tesla-autopilot-mountain-view::S7,2018-tesla-autopilot-mountain-view,S7,Post-incident: NTSB recommendations + attenuator repair,external-ecosystem,assurance-governance,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2023-tesla-autopilot-recall::S1,2023-tesla-autopilot-recall,S1,Driver-engagement monitoring controls,application,detective,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2023-tesla-autopilot-recall::S2,2023-tesla-autopilot-recall,S2,Operational-design-domain / misuse limiting,application,preventive,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2023-tesla-autopilot-recall::S3,2023-tesla-autopilot-recall,S3,Regulatory oversight (NHTSA EA22-002 investigation),external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2023-tesla-autopilot-recall::S4,2023-tesla-autopilot-recall,S4,Recall remedy (OTA update),application,detective,,Inadequate,operation,0,delayed,direct-artifact,multiply-reported,not-causally-relevant,added-after,medium,
2017-2021-rotterdam-welfare::S1,2017-2021-rotterdam-welfare,S1,Pre-deployment bias / fairness audit,organizational-process,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2017-2021-rotterdam-welfare::S2,2017-2021-rotterdam-welfare,S2,Feature / data governance (proxy & subjective features),model,preventive,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2017-2021-rotterdam-welfare::S3,2017-2021-rotterdam-welfare,S3,Meaningful individual human review of flagged cases,human-operator,detective,,Inadequate,operation,0,not-applicable,post-incident-finding,disputed,contributing,incident-time,medium,
2017-2021-rotterdam-welfare::S4,2017-2021-rotterdam-welfare,S4,Transparency to affected people,application,assurance-governance,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,high,
2017-2021-rotterdam-welfare::S5,2017-2021-rotterdam-welfare,S5,Governance / Court-of-Audit oversight (incl. DPIA),organizational-process,assurance-governance,,Inadequate,design,0,not-applicable,direct-artifact,confirmed-authoritative,latent-condition,incident-time,high,
2017-2021-rotterdam-welfare::S6,2017-2021-rotterdam-welfare,S6,Internal detection during operation,organizational-process,detective,,Failed,,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2017-2021-rotterdam-welfare::S7,2017-2021-rotterdam-welfare,S7,External oversight & recovery (Rekenkamer; audit; suspension),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2014-erater-babel-aes::S1,2014-erater-babel-aes,S1,"Construct validity (measures writing quality, not surface proxies)",model,preventive,,Failed,,0,not-applicable,research-evidence;direct-artifact,confirmed-authoritative,primary,incident-time,high,
2014-erater-babel-aes::S2,2014-erater-babel-aes,S2,Adversarial / gaming robustness,model,preventive,,Absent,,0,not-applicable,research-evidence,confirmed-authoritative,primary,incident-time,high,
2014-erater-babel-aes::S3,2014-erater-babel-aes,S3,"Human-in-the-loop pairing (high-stakes, e.g. GRE)",human-operator,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,HUMAN-OVERSIGHT
2014-erater-babel-aes::S4,2014-erater-babel-aes,S4,Human oversight where e-rater scores alone,human-operator,containment,,Absent,,0,not-applicable,direct-artifact,confirmed-authoritative,primary,incident-time,high,HUMAN-OVERSIGHT
2014-erater-babel-aes::S5,2014-erater-babel-aes,S5,Vendor response: BABEL-advisory detector,application,detective,,Inadequate,design,0,too-late,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2025-amazon-q-injection::S1,2025-amazon-q-injection,S1,PR review / repo write-access control,organizational-process,preventive,,Bypassed,,0,not-applicable,operator-claim;direct-artifact,multiply-reported,primary,incident-time,high,
2025-amazon-q-injection::S2,2025-amazon-q-injection,S2,Supply-chain / release-integrity vetting,organizational-process,preventive,,Failed,,0,not-applicable,operator-claim,multiply-reported,primary,incident-time,high,
2025-amazon-q-injection::S3,2025-amazon-q-injection,S3,Agent execution guardrails (destructive-command confirmation/sandbox),application,containment,,Unknown,,1,not-applicable,inferred-indirect,inferred-indirect,contributing,incident-time,low,
2025-amazon-q-injection::S4,2025-amazon-q-injection,S4,Proactive detection (pre-release / at-merge),organizational-process,detective,,Failed,,0,too-late,direct-artifact,multiply-reported,contributing,incident-time,medium,
2025-amazon-q-injection::S5,2025-amazon-q-injection,S5,Containment of destructive payload,infrastructure-environment,containment,,Absent,,0,not-applicable,operator-claim,multiply-reported,latent-condition,incident-time,high,
2025-amazon-q-injection::S6,2025-amazon-q-injection,S6,"Response / remediation (revoke token, remove code, pull 1.84, ship 1.85)",organizational-process,recovery,,Working,,0,delayed,operator-claim,multiply-reported,mitigating,incident-time,high,
